temp,humidity,rainfall,state
31.1,95,0.2,andhra_pradesh
30.1,96,1.9,andhra_pradesh
30.4,98,2.1,andhra_pradesh
29.6,99,0.7,andhra_pradesh
31.8,90,0.0,andhra_pradesh
31.4,98,0.0,andhra_pradesh
31.6,97,0.0,andhra_pradesh
29.9,97,0.4,andhra_pradesh
31.1,95,0.0,andhra_pradesh
30.5,88,0.0,andhra_pradesh
30.0,92,0.0,andhra_pradesh
30.1,93,0.0,andhra_pradesh
30.4,94,0.0,andhra_pradesh
30.0,94,0.0,andhra_pradesh
30.4,99,0.0,andhra_pradesh
31.4,98,0.0,andhra_pradesh
31.1,95,0.0,andhra_pradesh
31.0,95,0.0,andhra_pradesh
30.9,90,0.0,andhra_pradesh
28.8,92,0.0,andhra_pradesh
29.1,88,0.0,andhra_pradesh
30.3,92,0.0,andhra_pradesh
31.2,94,0.0,andhra_pradesh
31.3,98,0.0,andhra_pradesh
30.6,98,0.0,andhra_pradesh
30.2,93,0.0,andhra_pradesh
29.7,95,0.0,andhra_pradesh
30.1,93,0.0,andhra_pradesh
30.0,95,0.0,andhra_pradesh
30.9,98,0.0,andhra_pradesh
31.3,97,0.0,andhra_pradesh
30.6,97,0.0,andhra_pradesh
29.3,97,0.4,andhra_pradesh
30.3,97,0.0,andhra_pradesh
31.4,99,0.0,andhra_pradesh
31.7,96,0.0,andhra_pradesh
31.5,98,0.0,andhra_pradesh
31.6,98,0.0,andhra_pradesh
31.7,95,0.0,andhra_pradesh
30.8,93,0.0,andhra_pradesh
30.3,95,0.0,andhra_pradesh
31.4,96,0.0,andhra_pradesh
31.7,96,0.0,andhra_pradesh
33.3,97,0.0,andhra_pradesh
34.8,95,0.0,andhra_pradesh
34.6,95,0.0,andhra_pradesh
34.0,97,0.0,andhra_pradesh
34.6,96,0.0,andhra_pradesh
35.0,94,0.0,andhra_pradesh
33.0,96,0.0,andhra_pradesh
32.6,97,0.0,andhra_pradesh
33.0,97,0.0,andhra_pradesh
34.1,70,0.0,andhra_pradesh
34.4,69,0.0,andhra_pradesh
34.4,84,0.0,andhra_pradesh
35.0,92,0.0,andhra_pradesh
34.4,94,0.0,andhra_pradesh
34.2,94,0.0,andhra_pradesh
33.1,91,0.0,andhra_pradesh
32.0,82,0.4,andhra_pradesh
31.9,88,1.3,andhra_pradesh
33.4,89,0.8,andhra_pradesh
33.3,93,0.0,andhra_pradesh
34.1,92,0.7,andhra_pradesh
33.0,95,0.8,andhra_pradesh
33.3,98,1.8,andhra_pradesh
34.0,91,0.1,andhra_pradesh
33.5,92,0.2,andhra_pradesh
35.1,94,0.0,andhra_pradesh
